Parameters                                                Config 1                                           Config 2
--------------------------------------------------------  -------------------------------------------------  -------------------------------------------------
panel.click_button_pin                                    e.4!^                                              e.4!^
temperature_control.bed.pid_distance                      6                                                  6
panel.spi_cs_pin                                          a.7                                                a.7
simpledriver.drv3.enable                                  true                                               true
switch.fan_h.output_type                                  hwpwm                                              hwpwmooy
simpledriver.drv4.hold_ma                                 600                                                600
temperature_control.hotend.i_factor                       0.402                                              0.402
pause_on_reading_error                                    true                                               true
temperature_control.hotend.enable                         true                                               false
temperature_control.bed.set_and_wait_m_code               190                                                190
switch.fan_h.max_pwm                                      255                                                255
simpledriver.drv5.type                                    uart220x                                           uart220x
temperature_control.hotend.min_pwm                        15                                                 15
simpledriver.drv4.shortprotect                            true                                               true
switch.fan2.enable                                        true                                               true
homing_order                                              XYZ                                                XYZ
switch.fan1.input_off_command                             M2107                                              M2107
alpha_homing_retract_mm                                   5                                                  5
temperature_control.hotend.use_hwpwm                      true                                               true
simpledriver.drv2.hold_ma                                 600                                                600
simpledriver.drv2.rsense                                  0.11                                               0.11
temperature_control.hotend.PonE_weight                    0.6                                                0.6
corexy_homing                                             false                                              false
temperature_control.bed.designator                        B                                                  B
switch.fan1.ignore_on_halt                                true                                               true
simpledriver.drv2.TPWMTHRS                                0x00000046                                         0x00000046
extruder.hotend.default_feed_rate_mmps                    100                                                100
simpledriver.drv2.num                                     2                                                  2
switch.light.enable                                       true                                               true
alpha_fast_homing_rate_mm_s                               50                                                 50
soft_endstop.y_max                                        200                                                200
temperature_control.bed.hysteresis                        0.5                                                0.5
panel.max_checkfiletime                                   0                                                  0
switch.fan2.input_off_command                             M1107                                              M1107
simpledriver.drv2.PWMCONF                                 0xC40D0E24                                         0xC40D0E24
temperature_control.bed.enable                            true                                               true
switch.fan1.enable                                        true                                               true
default_feed_rate_mmps                                    80                                                 85
panel.reverse                                             true                                               true
temperatureswitch.elc.switch                              fan2                                               fan2
temperature_control.hotend.p_factor                       19.32                                              19.32
panel.rst_pin                                             a.5                                                a.5
temperature_control.bed.runaway_cooling_timeout           0                                                  0
simpledriver.drv1.shortprotect                            true                                               true
switch.fan2.output_type                                   hwpwm                                              hwpwmfu
filament_detector.minimal_mm_to_check                     4                                                  4
temperature_control.hotend.thermistor                     Semitec                                            Semitec
y_axis_max_speed_mmps                                     200                                                20
beta_max                                                  200                                                200
temperature_control.hotend.pid_distance                   30                                                 30
extruder.hotend.enable                                    true                                               true
temperature_control.hotend.set_and_wait_m_code            109                                                109
beta_min                                                  0                                                  0
extruder.hotend.x_offset                                  0                                                  0
switch.fan0.output_type                                   hwpwm                                              hwpwm
beta_slow_homing_rate_mm_s                                30                                                 30
simpledriver.drv4.enable                                  true                                               true
switch.fan2.output_pin                                    e.11                                               e.11
extruder.hotend.z_offset                                  0                                                  0
preheat.bed_temps                                         70|90|90|0                                         70|90|90|0
gamma_homing_retract_mm                                   5                                                  5
simpledriver.drv1.PWMCONF                                 0xC40D0E24                                         0xC40D0E24
temperature_control.hotend.runaway_cooling_timeout        0                                                  0
temperature_control.hotend.runaway_range                  0                                                  0
preheat.head_temps                                        200|230|220|80                                     200|230|220|80
temperature_control.bed.runaway_heating_timeout           600                                                600
